iri,label,definition,type,parent_iri
http://w3id.org/salmon/AggregatedMeasurement,Aggregated measurement,,owl_class,http://w3id.org/salmon/Measurement
http://w3id.org/salmon/BodyShape,Body shape,,owl_class,http://w3id.org/salmon/Characteristic
http://w3id.org/salmon/CatchContext,Catch context,,skos_concept,http://w3id.org/salmon/MeasurementContext
http://w3id.org/salmon/Characteristic,Characteristic,,owl_class,http://www.w3.org/ns/sosa/Property
http://w3id.org/salmon/DataQualityAssessment,Data quality assessment,"An assessment artifact describing confidence, uncertainty, and quality constraints for a salmon data product or metric.",owl_class,http://purl.obolibrary.org/obo/IAO_0000030
http://w3id.org/salmon/Deme,Deme,"A local interbreeding group within a species; in salmon systems, typically corresponding to a spawning-site-scale biological unit.",owl_class,http://rs.tdwg.org/dwc/terms/Organism
http://w3id.org/salmon/Entity,Entity,,owl_class,http://www.w3.org/ns/sosa/FeatureOfInterest
http://w3id.org/salmon/EnumerationMethod,Enumeration method,,owl_class,http://www.w3.org/ns/sosa/Procedure
http://w3id.org/salmon/Escapement,Escapement,The number of mature salmon that pass through (or escape) fisheries and return to fresh water to spawn.,owl_class,http://purl.obolibrary.org/obo/BFO_0000015
http://w3id.org/salmon/EscapementMeasurement,Escapement measurement,A measurement or estimate of escapement tied to a stock and a survey event.,owl_class,http://purl.obolibrary.org/obo/IAO_0000109
http://w3id.org/salmon/EscapementSurveyEvent,Escapement survey event,A survey event specifically for estimating escapement.,owl_class,http://w3id.org/salmon/SurveyEvent
http://w3id.org/salmon/EventType,Event type,A class used to categorize fisheries or survey event instances by operational type.,owl_class,
http://w3id.org/salmon/ExploitationRate,Exploitation rate,The proportion of returning adult salmon removed by fishing activity over a defined period.,owl_class,http://w3id.org/salmon/TargetOrLimitRateOrAbundance
http://w3id.org/salmon/FishForkLengthMeasurementMethod,Fish fork-length measurement method,,owl_class,http://w3id.org/salmon/FishLengthMeasurementMethod
http://w3id.org/salmon/FishLength,Fish length,,owl_class,http://w3id.org/salmon/MorphologicalCharacteristic
http://w3id.org/salmon/FishLengthMeasurementMethod,Fish length measurement method,,owl_class,http://www.w3.org/ns/sosa/Procedure
http://w3id.org/salmon/FishLengthMeasurementType,Fish length measurement type,,owl_class,http://w3id.org/salmon/Measurement
http://w3id.org/salmon/FishWeight,Fish weight,,owl_class,http://w3id.org/salmon/MorphologicalCharacteristic
http://w3id.org/salmon/FishingType,Fishing type,,owl_class,http://w3id.org/salmon/EventType
http://w3id.org/salmon/ForkLengthMeasurement,Fork-length measurement,,owl_class,http://w3id.org/salmon/FishLengthMeasurementType
http://w3id.org/salmon/ForkLengthMeasurementFieldMethod,Fork-length field method,,owl_class,http://w3id.org/salmon/ForkLengthMeasurementMethod
http://w3id.org/salmon/ForkLengthMeasurementLabMethod,Fork-length lab method,,owl_class,http://w3id.org/salmon/ForkLengthMeasurementMethod
http://w3id.org/salmon/ForkLengthMeasurementMethod,Fork-length measurement method,,owl_class,http://w3id.org/salmon/FishForkLengthMeasurementMethod
http://w3id.org/salmon/GeographicFeature,Geographic feature,,owl_class,http://www.opengis.net/ont/geosparql#Feature
http://w3id.org/salmon/HabitatUnit,Habitat unit,,owl_class,http://w3id.org/salmon/Entity
http://w3id.org/salmon/HatcheryOrigin,Hatchery-origin,,skos_concept,http://w3id.org/salmon/SalmonOrigin
http://w3id.org/salmon/InRiverPhase,In-river phase,,skos_concept,http://w3id.org/salmon/LifePhase
http://w3id.org/salmon/IndicatorRiver,Indicator river,A river or stream used as a relatively reliable abundance index for nearby salmon returns due to survey intensity and method quality.,owl_class,http://w3id.org/salmon/GeographicFeature
http://w3id.org/salmon/IndividualMeasurement,Individual measurement,,owl_class,http://w3id.org/salmon/Measurement
http://w3id.org/salmon/Life-HistoryCharacteristic,Life-history characteristic,,owl_class,http://w3id.org/salmon/Characteristic
http://w3id.org/salmon/LifePhase,Life phase,,skos_concept,
http://w3id.org/salmon/LifePhaseScheme,Life phase scheme,A concept scheme for life-phase terms.,skos_concept,
