dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,unit_label,unit_iri,term_iri,term_type,required,property_iri,entity_iri,constraint_iri,method_iri
spsr-data-dictionary,smu_metadata,SMU_ID,SMU ID,Alphanumeric ID number for stock management unit (SMU) demographic unit,identifier,string,,,https://w3id.org/gcdfo/salmon#StockManagementUnit,owl_class,TRUE,,,,
spsr-data-dictionary,smu_metadata,START_YEAR,Start Year,The start year the time series index became active,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,FALSE,,,,
spsr-data-dictionary,smu_metadata,END_YEAR,End Year,The end year of the time series index,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,FALSE,,,,
spsr-data-dictionary,smu_metadata,METHOD_COLLECTION,Data Collection Methods,Notes on data collection methods that apply to the entire timeseries,attribute,string,,,http://rs.tdwg.org/dwc/terms/samplingProtocol,owl_object_property,FALSE,,,,
spsr-data-dictionary,smu_metadata,METHOD_ANALYSIS,Data Analysis Methods,Notes on data analysis methods that apply to the entire timeseries,attribute,string,,,,,,FALSE,,,,
spsr-data-dictionary,smu_metadata,YEAR_TYPE,Year Method,The type of year definition used in the timeseries,categorical,string,,,https://w3id.org/gcdfo/salmon#YearBasis,owl_class,FALSE,,,,
spsr-data-dictionary,smu_metadata,AGE_TYPE,Age Method,The type of age definition used in the timeseries,categorical,string,,,,,,FALSE,,,,
spsr-data-dictionary,smu_metadata,INDEX_QUALITY,Index Quality,Information quality ranking from New Zealand Standard,categorical,string,,,,,,FALSE,,,,
spsr-data-dictionary,smu_metadata,INFORMATION_QUALITY,Information Quality,Data quality score 1-5 based on Ogden 2015 framework,categorical,integer,,,,,,FALSE,,,,
spsr-data-dictionary,smu_metadata,REFERENCE,Reference,Citation for the report that data was published or archived in,attribute,string,,,http://purl.org/dc/terms/bibliographicCitation,owl_annotation_property,FALSE,,,,
spsr-data-dictionary,smu_metadata,CONTACT,Contact,Name and email contact for dataset steward or expert,attribute,string,,,,,,FALSE,,,,
spsr-data-dictionary,smu_metadata,COMMENTS,Comments,Additional comments about the time series,attribute,string,,,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,owl_object_property,FALSE,,,,
spsr-data-dictionary,smu_timeseries,SMU_ID,SMU ID,Alphanumeric ID number for stock management unit,identifier,string,,,https://w3id.org/gcdfo/salmon#StockManagementUnit,owl_class,TRUE,,,,
spsr-data-dictionary,smu_timeseries,YEAR,Year,The year measurements were captured,temporal,integer,year,http://qudt.org/vocab/unit/YR,http://rs.tdwg.org/dwc/terms/eventDate,owl_object_property,TRUE,,,,
spsr-data-dictionary,smu_timeseries,MAINSTEM_CATCH,Mainstem Catch,Total number of fish caught in mainstem over all ages,measurement,integer,individuals,http://qudt.org/vocab/unit/NUM,,skos_concept,FALSE,http://purl.obolibrary.org/obo/PATO_0000070,https://w3id.org/gcdfo/salmon#Stock,,
